fail_rate,fail_rate_ci_high,fail_rate_ci_low,mean_steps,num_trials,perception,safe_rate,safe_rate_ci_high,safe_rate_ci_low,selector,shield,stuck_rate,stuck_rate_ci_high,stuck_rate_ci_low
0.2,0.5560954623076415,0.02521072632683336,8.0,10,uniform,0.8,0.9747892736731666,0.4439045376923585,random,none,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,8.0,10,uniform,0.8,0.9747892736731666,0.4439045376923585,random,observation,0.1,0.4450161170281954,0.0025285785444617848
0.2,0.5560954623076415,0.02521072632683336,8.0,10,uniform,0.8,0.9747892736731666,0.4439045376923585,random,single_belief,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,8.0,10,uniform,0.8,0.9747892736731666,0.4439045376923585,random,envelope,0.1,0.4450161170281954,0.0025285785444617848
0.2,0.5560954623076415,0.02521072632683336,8.1,10,uniform,0.8,0.9747892736731666,0.4439045376923585,best,none,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,6.4,10,uniform,0.5,0.8129139715526015,0.18708602844739855,best,observation,0.4,0.7376219233930549,0.12155225811982719
0.1,0.4450161170281954,0.0025285785444617848,9.0,10,uniform,0.9,0.9974714214555382,0.5549838829718047,best,single_belief,0.0,0.3084971078187607,0.0
0.2,0.5560954623076415,0.02521072632683336,6.1,10,uniform,0.5,0.8129139715526015,0.18708602844739855,best,envelope,0.3,0.6524528500599973,0.06673951117773447
0.1,0.4450161170281954,0.0025285785444617848,9.0,10,uniform,0.9,0.9974714214555382,0.5549838829718047,rl,none,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,6.0,10,uniform,0.5,0.8129139715526015,0.18708602844739855,rl,observation,0.4,0.7376219233930549,0.12155225811982719
0.1,0.4450161170281954,0.0025285785444617848,9.0,10,uniform,0.9,0.9974714214555382,0.5549838829718047,rl,single_belief,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,7.4,10,uniform,0.6,0.8784477418801728,0.26237807660694507,rl,envelope,0.3,0.6524528500599973,0.06673951117773447
0.3,0.6524528500599973,0.06673951117773447,7.5,10,adversarial_opt,0.7,0.9332604888222655,0.3475471499400027,random,none,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,7.0,10,adversarial_opt,0.5,0.8129139715526015,0.18708602844739855,random,observation,0.4,0.7376219233930549,0.12155225811982719
0.1,0.4450161170281954,0.0025285785444617848,9.0,10,adversarial_opt,0.9,0.9974714214555382,0.5549838829718047,random,single_belief,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,8.0,10,adversarial_opt,0.7,0.9332604888222655,0.3475471499400027,random,envelope,0.2,0.5560954623076415,0.02521072632683336
0.3,0.6524528500599973,0.06673951117773447,8.0,10,adversarial_opt,0.7,0.9332604888222655,0.3475471499400027,best,none,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,6.0,10,adversarial_opt,0.5,0.8129139715526015,0.18708602844739855,best,observation,0.4,0.7376219233930549,0.12155225811982719
0.1,0.4450161170281954,0.0025285785444617848,9.0,10,adversarial_opt,0.9,0.9974714214555382,0.5549838829718047,best,single_belief,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,9.0,10,adversarial_opt,0.9,0.9974714214555382,0.5549838829718047,best,envelope,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,9.0,10,adversarial_opt,0.9,0.9974714214555382,0.5549838829718047,rl,none,0.0,0.3084971078187607,0.0
0.1,0.4450161170281954,0.0025285785444617848,5.8,10,adversarial_opt,0.3,0.6524528500599973,0.06673951117773447,rl,observation,0.6,0.8784477418801728,0.26237807660694507
0.1,0.4450161170281954,0.0025285785444617848,9.0,10,adversarial_opt,0.9,0.9974714214555382,0.5549838829718047,rl,single_belief,0.0,0.3084971078187607,0.0
0.2,0.5560954623076415,0.02521072632683336,7.7,10,adversarial_opt,0.7,0.9332604888222655,0.3475471499400027,rl,envelope,0.1,0.4450161170281954,0.0025285785444617848
