fail_rate,fail_rate_ci_high,fail_rate_ci_low,mean_steps,num_trials,perception,safe_rate,safe_rate_ci_high,safe_rate_ci_low,selector,shield,stuck_rate,stuck_rate_ci_high,stuck_rate_ci_low
0.9,0.9974714214555382,0.5549838829718047,2.5,10,uniform,0.1,0.4450161170281954,0.0025285785444617848,random,none,0.0,0.3084971078187607,0.0
0.9,0.9974714214555382,0.5549838829718047,2.7,10,uniform,0.1,0.4450161170281954,0.0025285785444617848,random,observation,0.0,0.3084971078187607,0.0
0.4,0.7376219233930549,0.12155225811982719,6.0,10,uniform,0.5,0.8129139715526015,0.18708602844739855,random,single_belief,0.1,0.4450161170281954,0.0025285785444617848
0.4,0.7376219233930549,0.12155225811982719,6.5,10,uniform,0.5,0.8129139715526015,0.18708602844739855,random,envelope,0.1,0.4450161170281954,0.0025285785444617848
0.8,0.9747892736731666,0.4439045376923585,4.6,10,uniform,0.2,0.5560954623076415,0.02521072632683336,best,none,0.0,0.3084971078187607,0.0
0.8,0.9747892736731666,0.4439045376923585,5.4,10,uniform,0.2,0.5560954623076415,0.02521072632683336,best,observation,0.0,0.3084971078187607,0.0
0.2,0.5560954623076415,0.02521072632683336,7.7,10,uniform,0.7,0.9332604888222655,0.3475471499400027,best,single_belief,0.1,0.4450161170281954,0.0025285785444617848
0.3,0.6524528500599973,0.06673951117773447,7.9,10,uniform,0.7,0.9332604888222655,0.3475471499400027,best,envelope,0.0,0.3084971078187607,0.0
0.6,0.8784477418801728,0.26237807660694507,5.9,10,uniform,0.4,0.7376219233930549,0.12155225811982719,rl,none,0.0,0.3084971078187607,0.0
0.5,0.8129139715526015,0.18708602844739855,5.8,10,uniform,0.5,0.8129139715526015,0.18708602844739855,rl,observation,0.0,0.3084971078187607,0.0
0.3,0.6524528500599973,0.06673951117773447,7.6,10,uniform,0.7,0.9332604888222655,0.3475471499400027,rl,single_belief,0.0,0.3084971078187607,0.0
0.6,0.8784477418801728,0.26237807660694507,5.6,10,uniform,0.4,0.7376219233930549,0.12155225811982719,rl,envelope,0.0,0.3084971078187607,0.0
1.0,1.0,0.6915028921812392,3.5,10,adversarial_opt,0.0,0.3084971078187607,0.0,random,none,0.0,0.3084971078187607,0.0
0.9,0.9974714214555382,0.5549838829718047,4.5,10,adversarial_opt,0.1,0.4450161170281954,0.0025285785444617848,random,observation,0.0,0.3084971078187607,0.0
0.4,0.7376219233930549,0.12155225811982719,7.2,10,adversarial_opt,0.6,0.8784477418801728,0.26237807660694507,random,single_belief,0.0,0.3084971078187607,0.0
0.4,0.7376219233930549,0.12155225811982719,7.2,10,adversarial_opt,0.6,0.8784477418801728,0.26237807660694507,random,envelope,0.0,0.3084971078187607,0.0
1.0,1.0,0.6915028921812392,2.4,10,adversarial_opt,0.0,0.3084971078187607,0.0,best,none,0.0,0.3084971078187607,0.0
0.9,0.9974714214555382,0.5549838829718047,3.7,10,adversarial_opt,0.1,0.4450161170281954,0.0025285785444617848,best,observation,0.0,0.3084971078187607,0.0
0.7,0.9332604888222655,0.3475471499400027,5.2,10,adversarial_opt,0.3,0.6524528500599973,0.06673951117773447,best,single_belief,0.0,0.3084971078187607,0.0
0.7,0.9332604888222655,0.3475471499400027,3.9,10,adversarial_opt,0.2,0.5560954623076415,0.02521072632683336,best,envelope,0.1,0.4450161170281954,0.0025285785444617848
0.7,0.9332604888222655,0.3475471499400027,6.0,10,adversarial_opt,0.3,0.6524528500599973,0.06673951117773447,rl,none,0.0,0.3084971078187607,0.0
0.7,0.9332604888222655,0.3475471499400027,6.6,10,adversarial_opt,0.3,0.6524528500599973,0.06673951117773447,rl,observation,0.0,0.3084971078187607,0.0
0.3,0.6524528500599973,0.06673951117773447,7.1,10,adversarial_opt,0.7,0.9332604888222655,0.3475471499400027,rl,single_belief,0.0,0.3084971078187607,0.0
0.5,0.8129139715526015,0.18708602844739855,5.9,10,adversarial_opt,0.5,0.8129139715526015,0.18708602844739855,rl,envelope,0.0,0.3084971078187607,0.0
