fail_rate,fail_rate_ci_high,fail_rate_ci_low,mean_steps,num_trials,perception,safe_rate,safe_rate_ci_high,safe_rate_ci_low,selector,shield,stuck_rate,stuck_rate_ci_high,stuck_rate_ci_low
1.0,1.0,0.9637833073548235,2.66,100,uniform,0.0,0.03621669264517641,0.0,random,none,0.0,0.03621669264517641,0.0
0.71,0.7964258107492681,0.6107340410925517,11.39,100,uniform,0.29,0.3892659589074483,0.2035741892507318,random,observation,0.0,0.03621669264517641,0.0
0.58,0.6780144606452031,0.4771191957239138,12.52,100,uniform,0.42,0.5228808042760862,0.3219855393547969,random,single_belief,0.0,0.03621669264517641,0.0
0.41,0.5128557962332292,0.31261997656757085,7.93,100,uniform,0.21,0.30291537935054064,0.1349436957053291,random,envelope,0.38,0.4825393057508065,0.28476747614147957
0.47,0.5724185151099548,0.3694051641943945,10.02,100,uniform,0.27,0.3680162729089749,0.18606642229074058,random,forward_sampling,0.26,0.3573120631001036,0.17739443786765247
1.0,1.0,0.9637833073548235,3.4,100,uniform,0.0,0.03621669264517641,0.0,best,none,0.0,0.03621669264517641,0.0
0.79,0.8650563042946708,0.6970846206494593,10.58,100,uniform,0.21,0.30291537935054064,0.1349436957053291,best,observation,0.0,0.03621669264517641,0.0
0.55,0.6496797707603279,0.44728018877393605,12.95,100,uniform,0.45,0.552719811226064,0.35032022923967193,best,single_belief,0.0,0.03621669264517641,0.0
0.35,0.4518493618239694,0.25729377853145113,9.46,100,uniform,0.21,0.30291537935054064,0.1349436957053291,best,envelope,0.44,0.5428125029366824,0.34083602372345834
0.39,0.49268552036763646,0.294010414853417,10.7,100,uniform,0.26,0.3573120631001036,0.17739443786765247,best,forward_sampling,0.35,0.4518493618239694,0.25729377853145113
1.0,1.0,0.9637833073548235,4.22,100,uniform,0.0,0.03621669264517641,0.0,rl,none,0.0,0.03621669264517641,0.0
0.82,0.8896887708467394,0.7305229140331881,10.09,100,uniform,0.18,0.26947708596681186,0.11031122915326058,rl,observation,0.0,0.03621669264517641,0.0
0.65,0.7427062214685488,0.5481506381760306,11.85,100,uniform,0.35,0.4518493618239694,0.25729377853145113,rl,single_belief,0.0,0.03621669264517641,0.0
0.54,0.640156647020588,0.4374115798664712,7.26,100,uniform,0.09,0.1639822550296352,0.041983595628392247,rl,envelope,0.37,0.47235164055168316,0.2755665796145515
0.51,0.6113558348383622,0.40803632915545374,9.35,100,uniform,0.25,0.3465524957588082,0.16877973809934185,rl,forward_sampling,0.24,0.3357354892709986,0.16022461317144718
1.0,1.0,0.9637833073548235,2.99,100,adversarial_opt,0.0,0.03621669264517641,0.0,random,none,0.0,0.03621669264517641,0.0
