alpha,beta,seed,perception,adversarial_opt_target,shield,selector,fail_rate,stuck_rate,safe_rate,mean_steps,num_trials,fail_rate_ci_low,fail_rate_ci_high,stuck_rate_ci_low,stuck_rate_ci_high,safe_rate_ci_low,safe_rate_ci_high
0.01,0.7,123,adversarial_opt,envelope,envelope,rl,0.45,0.05,0.5,12.5,20,0.2305778967759241,0.6847218669594515,0.0012650894979498038,0.24873276277202777,0.27195784956079183,0.7280421504392081
0.01,0.7,123,adversarial_opt,envelope,forward_sampling,rl,0.65,0.05,0.3,10.25,20,0.40781146546717184,0.8460907952154588,0.0012650894979498038,0.24873276277202777,0.11893159040572769,0.5427891822762891
0.01,0.7,456,uniform,,single_belief,rl,0.6,0.0,0.4,12.2,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.7,456,uniform,,envelope,rl,0.65,0.05,0.3,10.75,20,0.40781146546717184,0.8460907952154588,0.0012650894979498038,0.24873276277202777,0.11893159040572769,0.5427891822762891
0.01,0.7,456,uniform,,forward_sampling,rl,0.5,0.05,0.45,12.5,20,0.27195784956079183,0.7280421504392081,0.0012650894979498038,0.24873276277202777,0.2305778967759241,0.6847218669594515
0.01,0.7,456,adversarial_opt,envelope,single_belief,rl,0.85,0.0,0.15,6.7,20,0.621073173454686,0.9679290628145363,0.0,0.1684334709830853,0.0320709371854637,0.37892682654531396
0.01,0.7,456,adversarial_opt,envelope,envelope,rl,0.8,0.15,0.05,4.8,20,0.5633859970033317,0.9426660029499672,0.0320709371854637,0.37892682654531396,0.0012650894979498038,0.24873276277202777
0.01,0.7,456,adversarial_opt,envelope,forward_sampling,rl,0.6,0.0,0.4,10.55,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.7,789,uniform,,single_belief,rl,0.35,0.0,0.65,15.05,20,0.15390920478454118,0.5921885345328282,0.0,0.1684334709830853,0.40781146546717184,0.8460907952154588
0.01,0.7,789,uniform,,envelope,rl,0.65,0.05,0.3,9.2,20,0.40781146546717184,0.8460907952154588,0.0012650894979498038,0.24873276277202777,0.11893159040572769,0.5427891822762891
0.01,0.7,789,uniform,,forward_sampling,rl,0.6,0.0,0.4,10.9,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.7,789,adversarial_opt,envelope,single_belief,rl,0.65,0.0,0.35,10.3,20,0.40781146546717184,0.8460907952154588,0.0,0.1684334709830853,0.15390920478454118,0.5921885345328282
0.01,0.7,789,adversarial_opt,envelope,envelope,rl,0.55,0.05,0.4,11.4,20,0.31527813304054847,0.7694221032240758,0.0012650894979498038,0.24873276277202777,0.1911900607253072,0.6394574126925103
0.01,0.7,789,adversarial_opt,envelope,forward_sampling,rl,0.6,0.05,0.35,9.2,20,0.36054258730748967,0.8088099392746928,0.0012650894979498038,0.24873276277202777,0.15390920478454118,0.5921885345328282
0.01,0.7,1024,uniform,,single_belief,rl,0.75,0.0,0.25,9.35,20,0.5089541282920425,0.9134285308985653,0.0,0.1684334709830853,0.08657146910143461,0.49104587170795744
0.01,0.7,1024,uniform,,envelope,rl,0.4,0.0,0.6,14.2,20,0.1911900607253072,0.6394574126925103,0.0,0.1684334709830853,0.36054258730748967,0.8088099392746928
0.01,0.7,1024,uniform,,forward_sampling,rl,0.7,0.0,0.3,10.65,20,0.45721081772371086,0.8810684095942722,0.0,0.1684334709830853,0.11893159040572769,0.5427891822762891
0.01,0.7,1024,adversarial_opt,envelope,single_belief,rl,0.7,0.0,0.3,9.2,20,0.45721081772371086,0.8810684095942722,0.0,0.1684334709830853,0.11893159040572769,0.5427891822762891
0.01,0.7,1024,adversarial_opt,envelope,envelope,rl,0.7,0.05,0.25,7.8,20,0.45721081772371086,0.8810684095942722,0.0012650894979498038,0.24873276277202777,0.08657146910143461,0.49104587170795744
0.01,0.7,1024,adversarial_opt,envelope,forward_sampling,rl,0.7,0.0,0.3,9.65,20,0.45721081772371086,0.8810684095942722,0.0,0.1684334709830853,0.11893159040572769,0.5427891822762891
0.01,0.8,42,uniform,,single_belief,rl,0.7,0.05,0.25,8.55,20,0.45721081772371086,0.8810684095942722,0.0012650894979498038,0.24873276277202777,0.08657146910143461,0.49104587170795744
0.01,0.8,42,uniform,,envelope,rl,0.55,0.05,0.4,10.8,20,0.31527813304054847,0.7694221032240758,0.0012650894979498038,0.24873276277202777,0.1911900607253072,0.6394574126925103
0.01,0.8,42,uniform,,forward_sampling,rl,0.55,0.05,0.4,9.5,20,0.31527813304054847,0.7694221032240758,0.0012650894979498038,0.24873276277202777,0.1911900607253072,0.6394574126925103
0.01,0.8,42,adversarial_opt,envelope,single_belief,rl,0.65,0.0,0.35,10.4,20,0.40781146546717184,0.8460907952154588,0.0,0.1684334709830853,0.15390920478454118,0.5921885345328282
0.01,0.8,42,adversarial_opt,envelope,envelope,rl,0.35,0.15,0.5,12.15,20,0.15390920478454118,0.5921885345328282,0.0320709371854637,0.37892682654531396,0.27195784956079183,0.7280421504392081
0.01,0.8,42,adversarial_opt,envelope,forward_sampling,rl,0.6,0.0,0.4,10.0,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.8,123,uniform,,single_belief,rl,0.55,0.0,0.45,11.7,20,0.31527813304054847,0.7694221032240758,0.0,0.1684334709830853,0.2305778967759241,0.6847218669594515
0.01,0.8,123,uniform,,envelope,rl,0.45,0.1,0.45,11.75,20,0.2305778967759241,0.6847218669594515,0.012348527170294808,0.31698271401908235,0.2305778967759241,0.6847218669594515
0.01,0.8,123,uniform,,forward_sampling,rl,0.6,0.05,0.35,9.25,20,0.36054258730748967,0.8088099392746928,0.0012650894979498038,0.24873276277202777,0.15390920478454118,0.5921885345328282
0.01,0.8,123,adversarial_opt,envelope,single_belief,rl,0.5,0.0,0.5,14.2,20,0.27195784956079183,0.7280421504392081,0.0,0.1684334709830853,0.27195784956079183,0.7280421504392081
0.01,0.8,123,adversarial_opt,envelope,envelope,rl,0.35,0.05,0.6,13.4,20,0.15390920478454118,0.5921885345328282,0.0012650894979498038,0.24873276277202777,0.36054258730748967,0.8088099392746928
0.01,0.8,123,adversarial_opt,envelope,forward_sampling,rl,0.5,0.0,0.5,12.05,20,0.27195784956079183,0.7280421504392081,0.0,0.1684334709830853,0.27195784956079183,0.7280421504392081
0.01,0.8,456,uniform,,single_belief,rl,0.45,0.05,0.5,12.1,20,0.2305778967759241,0.6847218669594515,0.0012650894979498038,0.24873276277202777,0.27195784956079183,0.7280421504392081
0.01,0.8,456,uniform,,envelope,rl,0.6,0.05,0.35,8.8,20,0.36054258730748967,0.8088099392746928,0.0012650894979498038,0.24873276277202777,0.15390920478454118,0.5921885345328282
0.01,0.8,456,uniform,,forward_sampling,rl,0.55,0.05,0.4,10.3,20,0.31527813304054847,0.7694221032240758,0.0012650894979498038,0.24873276277202777,0.1911900607253072,0.6394574126925103
0.01,0.8,456,adversarial_opt,envelope,single_belief,rl,0.65,0.05,0.3,8.3,20,0.40781146546717184,0.8460907952154588,0.0012650894979498038,0.24873276277202777,0.11893159040572769,0.5427891822762891
0.01,0.8,456,adversarial_opt,envelope,envelope,rl,0.45,0.1,0.45,11.05,20,0.2305778967759241,0.6847218669594515,0.012348527170294808,0.31698271401908235,0.2305778967759241,0.6847218669594515
0.01,0.8,456,adversarial_opt,envelope,forward_sampling,rl,0.65,0.05,0.3,9.2,20,0.40781146546717184,0.8460907952154588,0.0012650894979498038,0.24873276277202777,0.11893159040572769,0.5427891822762891
0.01,0.8,789,uniform,,single_belief,rl,0.7,0.0,0.3,10.2,20,0.45721081772371086,0.8810684095942722,0.0,0.1684334709830853,0.11893159040572769,0.5427891822762891
0.01,0.8,789,uniform,,envelope,rl,0.7,0.0,0.3,7.7,20,0.45721081772371086,0.8810684095942722,0.0,0.1684334709830853,0.11893159040572769,0.5427891822762891
0.01,0.8,789,uniform,,forward_sampling,rl,0.6,0.0,0.4,10.85,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.8,789,adversarial_opt,envelope,single_belief,rl,0.6,0.05,0.35,11.15,20,0.36054258730748967,0.8088099392746928,0.0012650894979498038,0.24873276277202777,0.15390920478454118,0.5921885345328282
0.01,0.8,789,adversarial_opt,envelope,envelope,rl,0.75,0.0,0.25,8.25,20,0.5089541282920425,0.9134285308985653,0.0,0.1684334709830853,0.08657146910143461,0.49104587170795744
0.01,0.8,789,adversarial_opt,envelope,forward_sampling,rl,0.75,0.0,0.25,9.8,20,0.5089541282920425,0.9134285308985653,0.0,0.1684334709830853,0.08657146910143461,0.49104587170795744
0.01,0.8,1024,uniform,,single_belief,rl,0.7,0.0,0.3,10.65,20,0.45721081772371086,0.8810684095942722,0.0,0.1684334709830853,0.11893159040572769,0.5427891822762891
0.01,0.8,1024,uniform,,envelope,rl,0.45,0.1,0.45,10.7,20,0.2305778967759241,0.6847218669594515,0.012348527170294808,0.31698271401908235,0.2305778967759241,0.6847218669594515
0.01,0.8,1024,uniform,,forward_sampling,rl,0.6,0.0,0.4,10.25,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.8,1024,adversarial_opt,envelope,single_belief,rl,0.85,0.0,0.15,7.5,20,0.621073173454686,0.9679290628145363,0.0,0.1684334709830853,0.0320709371854637,0.37892682654531396
0.01,0.8,1024,adversarial_opt,envelope,envelope,rl,0.65,0.0,0.35,9.5,20,0.40781146546717184,0.8460907952154588,0.0,0.1684334709830853,0.15390920478454118,0.5921885345328282
0.01,0.8,1024,adversarial_opt,envelope,forward_sampling,rl,0.55,0.0,0.45,10.95,20,0.31527813304054847,0.7694221032240758,0.0,0.1684334709830853,0.2305778967759241,0.6847218669594515
0.01,0.9,42,uniform,,single_belief,rl,0.45,0.0,0.55,12.9,20,0.2305778967759241,0.6847218669594515,0.0,0.1684334709830853,0.31527813304054847,0.7694221032240758
0.01,0.9,42,uniform,,envelope,rl,0.5,0.1,0.4,8.4,20,0.27195784956079183,0.7280421504392081,0.012348527170294808,0.31698271401908235,0.1911900607253072,0.6394574126925103
0.01,0.9,42,uniform,,forward_sampling,rl,0.6,0.15,0.25,9.15,20,0.36054258730748967,0.8088099392746928,0.0320709371854637,0.37892682654531396,0.08657146910143461,0.49104587170795744
0.01,0.9,42,adversarial_opt,envelope,single_belief,rl,0.6,0.0,0.4,11.9,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.9,42,adversarial_opt,envelope,envelope,rl,0.6,0.2,0.2,5.2,20,0.36054258730748967,0.8088099392746928,0.05733399705003277,0.4366140029966683,0.05733399705003277,0.4366140029966683
0.01,0.9,42,adversarial_opt,envelope,forward_sampling,rl,0.3,0.1,0.6,14.35,20,0.11893159040572769,0.5427891822762891,0.012348527170294808,0.31698271401908235,0.36054258730748967,0.8088099392746928
0.01,0.9,123,uniform,,single_belief,rl,0.4,0.0,0.6,15.25,20,0.1911900607253072,0.6394574126925103,0.0,0.1684334709830853,0.36054258730748967,0.8088099392746928
0.01,0.9,123,uniform,,envelope,rl,0.45,0.35,0.2,5.4,20,0.2305778967759241,0.6847218669594515,0.15390920478454118,0.5921885345328282,0.05733399705003277,0.4366140029966683
0.01,0.9,123,uniform,,forward_sampling,rl,0.45,0.2,0.35,10.35,20,0.2305778967759241,0.6847218669594515,0.05733399705003277,0.4366140029966683,0.15390920478454118,0.5921885345328282
0.01,0.9,123,adversarial_opt,envelope,single_belief,rl,0.45,0.0,0.55,14.45,20,0.2305778967759241,0.6847218669594515,0.0,0.1684334709830853,0.31527813304054847,0.7694221032240758
0.01,0.9,123,adversarial_opt,envelope,envelope,rl,0.25,0.25,0.5,12.3,20,0.08657146910143461,0.49104587170795744,0.08657146910143461,0.49104587170795744,0.27195784956079183,0.7280421504392081
0.01,0.9,123,adversarial_opt,envelope,forward_sampling,rl,0.3,0.25,0.45,11.35,20,0.11893159040572769,0.5427891822762891,0.08657146910143461,0.49104587170795744,0.2305778967759241,0.6847218669594515
0.01,0.9,456,uniform,,single_belief,rl,0.6,0.1,0.3,8.75,20,0.36054258730748967,0.8088099392746928,0.012348527170294808,0.31698271401908235,0.11893159040572769,0.5427891822762891
0.01,0.9,456,uniform,,envelope,rl,0.35,0.15,0.5,11.7,20,0.15390920478454118,0.5921885345328282,0.0320709371854637,0.37892682654531396,0.27195784956079183,0.7280421504392081
0.01,0.9,456,uniform,,forward_sampling,rl,0.35,0.1,0.55,13.1,20,0.15390920478454118,0.5921885345328282,0.012348527170294808,0.31698271401908235,0.31527813304054847,0.7694221032240758
0.01,0.9,456,adversarial_opt,envelope,single_belief,rl,0.45,0.1,0.45,10.3,20,0.2305778967759241,0.6847218669594515,0.012348527170294808,0.31698271401908235,0.2305778967759241,0.6847218669594515
0.01,0.9,456,adversarial_opt,envelope,envelope,rl,0.5,0.15,0.35,8.4,20,0.27195784956079183,0.7280421504392081,0.0320709371854637,0.37892682654531396,0.15390920478454118,0.5921885345328282
0.01,0.9,456,adversarial_opt,envelope,forward_sampling,rl,0.4,0.15,0.45,10.0,20,0.1911900607253072,0.6394574126925103,0.0320709371854637,0.37892682654531396,0.2305778967759241,0.6847218669594515
0.01,0.9,789,uniform,,single_belief,rl,0.55,0.0,0.45,11.6,20,0.31527813304054847,0.7694221032240758,0.0,0.1684334709830853,0.2305778967759241,0.6847218669594515
0.01,0.9,789,uniform,,envelope,rl,0.4,0.25,0.35,7.6,20,0.1911900607253072,0.6394574126925103,0.08657146910143461,0.49104587170795744,0.15390920478454118,0.5921885345328282
0.01,0.9,789,uniform,,forward_sampling,rl,0.4,0.1,0.5,11.25,20,0.1911900607253072,0.6394574126925103,0.012348527170294808,0.31698271401908235,0.27195784956079183,0.7280421504392081
0.01,0.9,789,adversarial_opt,envelope,single_belief,rl,0.55,0.1,0.35,9.75,20,0.31527813304054847,0.7694221032240758,0.012348527170294808,0.31698271401908235,0.15390920478454118,0.5921885345328282
0.01,0.9,789,adversarial_opt,envelope,envelope,rl,0.4,0.1,0.5,10.85,20,0.1911900607253072,0.6394574126925103,0.012348527170294808,0.31698271401908235,0.27195784956079183,0.7280421504392081
0.01,0.9,789,adversarial_opt,envelope,forward_sampling,rl,0.4,0.15,0.45,10.65,20,0.1911900607253072,0.6394574126925103,0.0320709371854637,0.37892682654531396,0.2305778967759241,0.6847218669594515
0.01,0.9,1024,uniform,,single_belief,rl,0.6,0.0,0.4,11.9,20,0.36054258730748967,0.8088099392746928,0.0,0.1684334709830853,0.1911900607253072,0.6394574126925103
0.01,0.9,1024,uniform,,envelope,rl,0.35,0.3,0.35,8.35,20,0.15390920478454118,0.5921885345328282,0.11893159040572769,0.5427891822762891,0.15390920478454118,0.5921885345328282
0.01,0.9,1024,uniform,,forward_sampling,rl,0.3,0.15,0.55,12.1,20,0.11893159040572769,0.5427891822762891,0.0320709371854637,0.37892682654531396,0.31527813304054847,0.7694221032240758
0.01,0.9,1024,adversarial_opt,envelope,single_belief,rl,0.7,0.0,0.3,10.55,20,0.45721081772371086,0.8810684095942722,0.0,0.1684334709830853,0.11893159040572769,0.5427891822762891
0.01,0.9,1024,adversarial_opt,envelope,envelope,rl,0.4,0.25,0.35,9.45,20,0.1911900607253072,0.6394574126925103,0.08657146910143461,0.49104587170795744,0.15390920478454118,0.5921885345328282
0.01,0.9,1024,adversarial_opt,envelope,forward_sampling,rl,0.65,0.05,0.3,9.2,20,0.40781146546717184,0.8460907952154588,0.0012650894979498038,0.24873276277202777,0.11893159040572769,0.5427891822762891
0.025,0.7,42,uniform,,single_belief,rl,0.55,0.0,0.45,11.6,20,0.31527813304054847,0.7694221032240758,0.0,0.1684334709830853,0.2305778967759241,0.6847218669594515
0.025,0.7,42,uniform,,envelope,rl,0.7,0.0,0.3,9.45,20,0.45721081772371086,0.8810684095942722,0.0,0.1684334709830853,0.11893159040572769,0.5427891822762891
0.025,0.7,42,uniform,,forward_sampling,rl,0.5,0.1,0.4,11.95,20,0.27195784956079183,0.7280421504392081,0.012348527170294808,0.31698271401908235,0.1911900607253072,0.6394574126925103
0.025,0.7,42,adversarial_opt,envelope,single_belief,rl,0.75,0.0,0.25,9.8,20,0.5089541282920425,0.9134285308985653,0.0,0.1684334709830853,0.08657146910143461,0.49104587170795744
