perception,family,method,beta,confidence_level,action_filter,fail_rate,stuck_rate,safe_rate,mean_steps,mean_stuck_count,intervention_rate,mean_conformal_cartesian_size,elapsed_seconds
uniform,conformal,conformal_prediction,,0.995,0.6,0.2,0.8,0.0,2.47,0.8,0.32793522267206476,4.685015290519877,0.0811929702758789
uniform,conformal,conformal_prediction,,0.995,0.7,0.2,0.8,0.0,2.47,0.8,0.32793522267206476,4.685015290519877,0.08125090599060059
uniform,conformal,conformal_prediction,,0.995,0.8,0.21,0.79,0.0,1.17,0.79,0.5555555555555556,4.709183673469388,0.05220222473144531
uniform,conformal,conformal_prediction,,0.995,0.9,0.07,0.93,0.0,0.2,0.93,0.65,4.292035398230088,0.029427289962768555
adversarial_opt,conformal,conformal_prediction,,0.95,0.6,0.71,0.0,0.29,11.83,0.0,0.27218934911242604,1.2781065088757397,0.17194914817810059
adversarial_opt,conformal,conformal_prediction,,0.95,0.7,0.71,0.0,0.29,11.83,0.0,0.27218934911242604,1.2781065088757397,0.17107558250427246
adversarial_opt,conformal,conformal_prediction,,0.95,0.8,0.72,0.0,0.28,11.71,0.0,0.30145175064047824,1.269000853970965,0.16923856735229492
adversarial_opt,conformal,conformal_prediction,,0.95,0.9,0.12,0.87,0.01,3.17,0.87,0.416403785488959,1.311881188118812,0.05906033515930176
adversarial_opt,conformal,conformal_prediction,,0.99,0.6,0.28,0.68,0.04,5.32,0.68,0.37969924812030076,3.1266666666666665,0.08870553970336914
adversarial_opt,conformal,conformal_prediction,,0.99,0.7,0.28,0.68,0.04,5.32,0.68,0.37969924812030076,3.1266666666666665,0.08833050727844238
adversarial_opt,conformal,conformal_prediction,,0.99,0.8,0.22,0.78,0.0,3.41,0.78,0.40175953079178883,3.01909307875895,0.0635824203491211
adversarial_opt,conformal,conformal_prediction,,0.99,0.9,0.07,0.93,0.0,0.39,0.93,0.6923076923076923,2.8257575757575757,0.02110767364501953
adversarial_opt,conformal,conformal_prediction,,0.995,0.6,0.14,0.85,0.01,2.41,0.85,0.42738589211618255,4.368098159509202,0.05068683624267578
adversarial_opt,conformal,conformal_prediction,,0.995,0.7,0.14,0.85,0.01,2.41,0.85,0.42738589211618255,4.368098159509202,0.05063986778259277
adversarial_opt,conformal,conformal_prediction,,0.995,0.8,0.15,0.85,0.0,1.15,0.85,0.5565217391304348,4.825,0.033608436584472656
adversarial_opt,conformal,conformal_prediction,,0.995,0.9,0.07,0.93,0.0,0.16,0.93,0.875,4.761467889908257,0.017348766326904297
