fail_rate,fail_rate_ci_high,fail_rate_ci_low,mean_steps,num_trials,perception,safe_rate,safe_rate_ci_high,safe_rate_ci_low,selector,shield,stuck_rate,stuck_rate_ci_high,stuck_rate_ci_low
0.06,0.16548194660377288,0.01254858783533406,28.52,50,uniform,0.94,0.9874514121646659,0.8345180533962271,random,none,0.0,0.07112173646419764,0.0
0.02,0.1064695457114999,0.000506227983040829,21.78,50,uniform,0.52,0.66339490839654,0.3741519450790943,random,observation,0.46,0.6067580238830776,0.31814917856860864
0.0,0.07112173646419764,0.0,25.22,50,uniform,0.84,0.9282992328167138,0.7088736934048891,random,single_belief,0.16,0.2911263065951108,0.07170076718328619
0.1,0.21813536643420225,0.03327509358902247,27.96,50,uniform,0.9,0.9667249064109775,0.7818646335657977,best,none,0.0,0.07112173646419764,0.0
0.0,0.07112173646419764,0.0,19.36,50,uniform,0.52,0.66339490839654,0.3741519450790943,best,observation,0.48,0.6258480549209058,0.3366050916034599
0.0,0.07112173646419764,0.0,24.0,50,uniform,0.8,0.899697762527429,0.6628168916165122,best,single_belief,0.2,0.33718310838348775,0.10030223747257107
0.0,0.07112173646419764,0.0,30.0,50,uniform,1.0,1.0,0.9288782635358024,rl,none,0.0,0.07112173646419764,0.0
0.0,0.07112173646419764,0.0,21.5,50,uniform,0.6,0.7359216049054632,0.45179402847918043,rl,observation,0.4,0.5482059715208196,0.2640783950945368
0.0,0.07112173646419764,0.0,24.62,50,uniform,0.82,0.9142379218903364,0.6856305887143497,rl,single_belief,0.18,0.31436941128565027,0.08576207810966364
0.14,0.2673960024970084,0.05819170034037209,26.42,50,adversarial_opt,0.86,0.9418082996596279,0.7326039975029917,random,none,0.0,0.07112173646419764,0.0
0.0,0.07112173646419764,0.0,21.5,50,adversarial_opt,0.52,0.66339490839654,0.3741519450790943,random,observation,0.48,0.6258480549209058,0.3366050916034599
0.02,0.1064695457114999,0.000506227983040829,24.72,50,adversarial_opt,0.82,0.9142379218903364,0.6856305887143497,random,single_belief,0.16,0.2911263065951108,0.07170076718328619
0.08,0.19234278359596277,0.02222796365492976,27.88,50,adversarial_opt,0.92,0.9777720363450703,0.8076572164040372,best,none,0.0,0.07112173646419764,0.0
0.02,0.1064695457114999,0.000506227983040829,18.7,50,adversarial_opt,0.48,0.6258480549209058,0.3366050916034599,best,observation,0.5,0.6447270028700913,0.3552729971299086
0.0,0.07112173646419764,0.0,23.4,50,adversarial_opt,0.78,0.8847341739621514,0.6403881114342107,best,single_belief,0.22,0.3596118885657894,0.11526582603784859
0.0,0.07112173646419764,0.0,30.0,50,adversarial_opt,1.0,1.0,0.9288782635358024,rl,none,0.0,0.07112173646419764,0.0
0.0,0.07112173646419764,0.0,19.46,50,adversarial_opt,0.52,0.66339490839654,0.3741519450790943,rl,observation,0.48,0.6258480549209058,0.3366050916034599
0.0,0.07112173646419764,0.0,27.16,50,adversarial_opt,0.9,0.9667249064109775,0.7818646335657977,rl,single_belief,0.1,0.21813536643420225,0.03327509358902247
